"ID","URL","PDF","Country","Province","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Severity","Patient setting","Outcome","Treatment","Size"
"JPRN-UMIN000040479","https://rctportal.niph.go.jp/en/detail?trial_id=UMIN000040479",NA,"Japan","Tokyo","2020-May",NA,"Recruiting","Unspecified","Open-Label",NA,"Healthy","None","Unclear",NA,"Other",30
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Argentina","Buenos Aires","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Brazil","Brasilia","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Canada","Ottawa","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Germany","Berlin","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"India","New Delhi","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Indonesia","Jakarta","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Iran","Tehran","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Norway","Oslo","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Peru","Lima","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Qatar","Doha","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"South Africa","Pretoria","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Spain","Madrid","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Switzerland","Bern","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"CTRI/2020/04/024773","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42897",NA,"Thailand","Nan","2020-Apr",NA,"Recruiting","Randomised","Open-Label",NA,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO","HCQ, LPV/r, Remdesivir, SOC",7000
"IRCT20200418047126N1","http://en.irct.ir/trial/47707",NA,"Iran","Tehran","2020-May","2020-Jun","Recruiting","Randomised","Single",2,"Confirmed","Unclear","Hospital","Hospitalization, Fever","HCQ, HCQ + Colchicine",100
"IRCT20190810044500N5","http://en.irct.ir/trial/46867",NA,"Iran","Tehran","2020-May","2021-Feb","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Outpatient, Hospital","Mortality, Hospitalization, Hospital Discharge, Cough, Fever, Dyspnea, C-Reactive Protein, Ferritin, Platelet Count, Erythrocyte Sedimentation Rate, D-Dimer, LDH, SpO2","Colchicine, HCQ + Colchicine",200
"NCT04381923","https://ClinicalTrials.gov/show/NCT04381923",NA,"United States","Pennsylvania","2020-May","2020-Aug","Not Recruiting","Randomised","Single",2,"Confirmed","Unclear","Hospital, ICU","Mortality, ICU Admission, Dyspnea, Renal Outcome (Unspecified)","Non-invasive respiratory support",200
"IRCT20200428047228N1","http://en.irct.ir/trial/47559",NA,"Iran","Tehran","2020-May","2020-Jun","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, SpO2","HCQ, HCQ + FPV",50
"IRCT20190418043307N1","http://en.irct.ir/trial/47209",NA,"Iran","Tehran","2020-May","2020-Jun","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Mortality, C-Reactive Protein, Ferritin, White Blood Cell Count, Platelet Count","HCQ, HCQ + Other",100
"IRCT20180425039414N2","http://en.irct.ir/trial/47516",NA,"Iran","Tehran","2020-May","2020-May","Completed","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Hospitalization, Cough, Fever, Dyspnea, SpO2","HCQ, HCQ + Zinc",80
"IRCT20200506047323N1","http://en.irct.ir/trial/48114",NA,"Iran","Tehran","2020-May","2020-Aug","Recruiting","Randomised","Double",2,"Confirmed","Moderate","Hospital","Fever, Serious Adverse Events, C-Reactive Protein, SpO2, Respiratory Rate","Alternative therapy + HCQ, HCQ",84
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"Ghana","Accra","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Healthy, Asymptomatic","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"Nigeria","Niger","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Healthy, Asymptomatic","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"South Africa","Pretoria","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Healthy, Asymptomatic","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"United Kingdom","London","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Healthy, Asymptomatic","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
